S_no_vax_0,S_no_vax_1,S_no_vax_2,S_no_vax_3,S_vax_0,S_vax_1,S_vax_2,S_vax_3,E_wild_0,E_wild_1,E_wild_2,E_wild_3,E_VOC_0,E_VOC_1,E_VOC_2,E_VOC_3,E_wild_vax_0,E_wild_vax_1,E_wild_vax_2,E_wild_vax_3,E_VOC_vax_0,E_VOC_vax_1,E_VOC_vax_2,E_VOC_vax_3,I_p_wild_0,I_p_wild_1,I_p_wild_2,I_p_wild_3,I_p_VOC_0,I_p_VOC_1,I_p_VOC_2,I_p_VOC_3,I_p_wild_vax_0,I_p_wild_vax_1,I_p_wild_vax_2,I_p_wild_vax_3,I_p_VOC_vax_0,I_p_VOC_vax_1,I_p_VOC_vax_2,I_p_VOC_vax_3,I_as_wild_0,I_as_wild_1,I_as_wild_2,I_as_wild_3,I_as_VOC_0,I_as_VOC_1,I_as_VOC_2,I_as_VOC_3,I_as_wild_vax_0,I_as_wild_vax_1,I_as_wild_vax_2,I_as_wild_vax_3,I_as_VOC_vax_0,I_as_VOC_vax_1,I_as_VOC_vax_2,I_as_VOC_vax_3,I_ps_wild_0,I_ps_wild_1,I_ps_wild_2,I_ps_wild_3,I_ps_VOC_0,I_ps_VOC_1,I_ps_VOC_2,I_ps_VOC_3,I_ps_wild_vax_0,I_ps_wild_vax_1,I_ps_wild_vax_2,I_ps_wild_vax_3,I_ps_VOC_vax_0,I_ps_VOC_vax_1,I_ps_VOC_vax_2,I_ps_VOC_vax_3,I_ms_wild_0,I_ms_wild_1,I_ms_wild_2,I_ms_wild_3,I_ms_VOC_0,I_ms_VOC_1,I_ms_VOC_2,I_ms_VOC_3,I_ms_wild_vax_0,I_ms_wild_vax_1,I_ms_wild_vax_2,I_ms_wild_vax_3,I_ms_VOC_vax_0,I_ms_VOC_vax_1,I_ms_VOC_vax_2,I_ms_VOC_vax_3,I_ss_wild_0,I_ss_wild_1,I_ss_wild_2,I_ss_wild_3,I_ss_VOC_0,I_ss_VOC_1,I_ss_VOC_2,I_ss_VOC_3,I_ss_wild_vax_0,I_ss_wild_vax_1,I_ss_wild_vax_2,I_ss_wild_vax_3,I_ss_VOC_vax_0,I_ss_VOC_vax_1,I_ss_VOC_vax_2,I_ss_VOC_vax_3,H_wild_0,H_wild_1,H_wild_2,H_wild_3,H_VOC_0,H_VOC_1,H_VOC_2,H_VOC_3,H_wild_vax_0,H_wild_vax_1,H_wild_vax_2,H_wild_vax_3,H_VOC_vax_0,H_VOC_vax_1,H_VOC_vax_2,H_VOC_vax_3,R_wild_0,R_wild_1,R_wild_2,R_wild_3,R_VOC_0,R_VOC_1,R_VOC_2,R_VOC_3,R_wild_vax_0,R_wild_vax_1,R_wild_vax_2,R_wild_vax_3,R_VOC_vax_0,R_VOC_vax_1,R_VOC_vax_2,R_VOC_vax_3
1356807.0,1233733.0,5217726,1648664,0.0,0.0,0.0,0.0,1105,2001,9759,1162,887,1696,8707,954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455,770,4062,453,391,679,3527,384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284,594,2824,311,249,463,1599,237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414,960,761,103,322,548,531,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3303,295,0.0,0.0,1983,149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,105,0.0,0.0,133,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,141,0.0,0.0,116,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225665,302219,1964471,232949,3421,6337,30251,3738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1395002.0,1257807.0,5042690,1668699,0.0,0.0,0.0,0.0,1103,1696,8518,1107,981,1754,8528,964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,884,3781,463,367,544,2788,357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281,607,2705,289,192,378,1945,272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472,977,811,112,318,526,483,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3236,264,0.0,0.0,2178,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131,120,0.0,0.0,113,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127,150,0.0,0.0,117,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187427,277363,2144822,212778,3357,7464,27027,3980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1381845.0,1220155.0,5027241,1663634,0.0,0.0,0.0,0.0,1075,1965,8382,957,852,1682,8413,1104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447,914,3856,444,323,748,2974,381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313,478,2498,376,213,401,1767,236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454,892,794,95,286,556,454,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3328,306,0.0,0.0,2169,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136,120,0.0,0.0,110,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109,112,0.0,0.0,138,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200778,315239,2158019,217942,3414,6970,29612,3818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362930.0,1217511.0,4949356,1663483,0.0,0.0,0.0,0.0,973,2203,8937,1098,904,1854,7535,1056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486,769,4375,471,310,627,3090,408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,556,2894,293,190,438,1865,222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440,869,830,83,278,625,484,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3062,251,0.0,0.0,2016,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132,142,0.0,0.0,157,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122,131,0.0,0.0,93,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219797,318878,2236397,218446,3392,5670,28655,3458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1376902.0,1276959.0,5111682,1665932,0.0,0.0,0.0,0.0,1011,1711,9453,1132,919,1909,9230,1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403,790,4158,484,320,623,3061,398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318,602,2701,306,164,401,1875,175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454,920,736,61,294,640,486,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3167,248,0.0,0.0,1853,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124,125,0.0,0.0,135,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,157,0.0,0.0,137,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205508,258553,2068873,215892,3707,6892,32223,3519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372760.0,1265593.0,4919966,1666455,0.0,0.0,0.0,0.0,1007,1917,8783,1106,958,1686,9159,1040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486,657,3713,447,375,813,3124,429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330,570,2785,341,216,418,1925,219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456,907,763,86,304,615,472,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3110,228,0.0,0.0,1966,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123,125,0.0,0.0,130,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,146,0.0,0.0,107,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209711,269567,2262409,215257,3397,7257,31346,3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1367930.0,1248110.0,5127110,1646244,0.0,0.0,0.0,0.0,1018,1903,9074,979,921,1971,8315,1067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467,787,3849,475,360,768,2833,410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,547,2490,316,215,412,1990,218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416,919,891,117,333,586,559,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3091,257,0.0,0.0,2015,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134,123,0.0,0.0,127,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129,150,0.0,0.0,117,139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214283,287407,2061623,235762,3768,6590,25653,3398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1382588.0,1272762.0,4985134,1664838,0.0,0.0,0.0,0.0,1069,2033,9488,1144,897,1641,7019,924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437,807,4012,488,389,788,3024,363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292,634,2518,289,189,410,1734,237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432,833,676,83,290,643,579,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2651,258,0.0,0.0,2027,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118,130,0.0,0.0,111,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,135,0.0,0.0,133,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200096,263783,2199592,217098,3321,5666,31054,3529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1366939.0,1231736.0,5097415,1662622,0.0,0.0,0.0,0.0,1079,1942,9142,1133,907,1640,7490,973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429,887,3982,523,402,648,3126,444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286,607,2672,309,181,451,1909,193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479,776,841,107,274,591,415,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3145,301,0.0,0.0,2291,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,112,0.0,0.0,141,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131,124,0.0,0.0,110,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215402,304400,2087164,219236,3622,6322,29925,3485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1402239.0,1234143.0,5152993,1666248,0.0,0.0,0.0,0.0,1053,1997,9751,1080,1002,1741,7749,1098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443,930,3912,491,304,734,3247,364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240,580,2708,332,219,389,1757,221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466,806,895,76,328,608,515,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3142,298,0.0,0.0,2349,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151,137,0.0,0.0,166,125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,162,0.0,0.0,118,125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180305,301164,2029745,215393,3401,6908,30682,3669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
