reg;ss_children;ss_adoles;ss_adults;ss_seniors;beta;alpha_LD;delay;lag;suscep-wuhan;suscep-VOC;SI;adu-sen-adj-factor;infectious-period;compartment-W;population;seasonality;loglikelihood
France;0.4;0.16;1.84;16.07;0.08199999999999999;1.07;0;43;[0.5 0.5 1.  1. ];[0.5 0.5 1.  1. ];0;1.6;2.3;no;old;no;
France;0.4;0.16;1.84;16.07;0.08199999999999999;1.06;0;42;[0.5 0.6 1.  1. ];[0.5 0.6 1.  1. ];0;1.6;2.3;no;old;no;
France;0.4;0.16;1.84;16.07;0.078;1.11;0;44;[0.5 0.7 1.  1. ];[0.5 0.7 1.  1. ];0;1.6;2.3;no;old;no;
France;0.4;0.16;1.84;16.07;0.08199999999999999;1.18;0;44;[0.5 0.7 1.  1. ];[0.5 0.7 1.  1. ];0;1.6;2.0;no;old;no;
France;0.4;0.16;1.84;16.07;0.085;1.06;-1;45;[0.6 0.6 1.  1. ];[0.6 0.6 1.  1. ];0;1.6;2.0;3.0;new;no;
France;0.4;0.16;1.84;16.07;0.085;1.12;-2;45;[0.6 0.6 1.  1. ];[0.6 0.6 1.  1. ];0;1.6;2.0;3.0;new;no;
France;0.4;0.16;1.84;16.07;0.065;1.36;0;48;[0.6 0.6 1.  1. ];[0.6 0.6 1.  1. ];0;1.6;2.0;3.0;new;no;
France;0.4;0.16;1.84;16.07;0.083;1.12;-2;46;[0.7 0.7 1.  1. ];[0.7 0.7 1.  1. ];0;1.6;2.0;3.0;new;no;
France;0.4;0.16;1.84;16.07;0.068;1.2600000000000002;-2;44;[0.7 0.7 1.  1. ];[0.7 0.7 1.  1. ];0;1.6;2.0;3.0;new;yes;
France;0.4;0.16;1.84;16.07;0.083;1.16;-2;47;[0.6 0.6 1.  1. ];[0.6 0.6 1.  1. ];0;1.6;2.0;3.0;new;no;
France;0.4;0.16;1.84;16.07;0.08600000000000001;1.16;-3;44;[0.5 0.7 1.  1. ];[0.5 0.7 1.  1. ];0;1.6;2.0;3.0;new;no;
France;0.4;0.16;1.84;16.07;0.08600000000000001;1.16;-3;44;[0.5 0.7 1.  1. ];[1.0 1.0 1.  1. ];0;1.6;2.0;3.0;new;no;
France;0.4;0.16;1.8399999999999999;16.07;0.086;1.1;-2;45;[0.7 0.5 1.  1. ];[1.0, 1.0, 1.0, 1.0];0;1.6;2.0;3.0;new;no;-1556.926088024737
